team,season,coach
Arsenal,2018,Unai Emery
Arsenal,2019,Mikel Arteta
Arsenal,2020,Mikel Arteta
Arsenal,2021,Mikel Arteta
Arsenal,2022,Mikel Arteta
Arsenal,2023,Mikel Arteta
Arsenal,2024,Mikel Arteta
Arsenal,2025,Mikel Artela
Arsenal,2026,Mikel Artela

Manchester City,2018,Pep Guardiola
Manchester City,2019,Pep Guardiola
Manchester City,2020,Pep Guardiola
Manchester City,2021,Pep Guardiola
Manchester City,2022,Pep Guardiola
Manchester City,2023,Pep Guardiola
Manchester City,2024,Pep Guardiola
Manchester City,2025,Pep Guardiola
Manchester City,2026,Pep Guardiola

Manchester United,2018,Ole Gunnar Solskjaer
Manchester United,2019,Ole Gunnar Solskjaer
Manchester United,2020,Ole Gunnar Solskjaer
Manchester United,2021,Erik ten Hag
Manchester United,2022,Erik ten Hag
Manchester United,2023,Erik ten Hag
Manchester United,2024,Ruben Amorim
Manchester United,2025,Ruben Amorim
Manchester United,2026,Michael Carrick

Liverpool,2018,Jürgen Klopp
Liverpool,2019,Jürgen Klopp
Liverpool,2020,Jürgen Klopp
Liverpool,2021,Jürgen Klopp
Liverpool,2022,Jürgen Klopp
Liverpool,2023,Jürgen Klopp
Liverpool,2024,Arne Slot
Liverpool,2025,Arne Slot
Liverpool,2026,Arne Slot

Chelsea,2018,Maurizio Sarri
Chelsea,2019,Frank Lampard
Chelsea,2020,Thomas Tuchel
Chelsea,2021,Thomas Tuchel
Chelsea,2022,Graham Potter
Chelsea,2023,Mauricio Pochettino
Chelsea,2024,Enzo Maresca
Chelsea,2025,Enzo Maresca
Chelsea,2026,Liam Rosenior

Tottenham,2018,Mauricio Pochettino
Tottenham,2019,José Mourinho
Tottenham,2020,José Mourinho
Tottenham,2021,Antonio Conte
Tottenham,2022,Antonio Conte
Tottenham,2023,Ange Postecoglou
Tottenham,2023,Ange Postecoglou
Tottenham,2024,Ange Postecoglou
Tottenham,2025,Ange Postecoglou
Tottenham,2026,Thomas Frank

Newcastle,2018,Rafael Benítez
Newcastle,2019,Steve Bruce
Newcastle,2020,Steve Bruce
Newcastle,2021,Eddie Howe
Newcastle,2022,Eddie Howe
Newcastle,2023,Eddie Howe
Newcastle,2024,Eddie Howe
Newcastle,2025,Eddie Howe
Newcastle,2026,Eddie Howe

West Ham,2018,Manuel Pellegrini
West Ham,2019,David Moyes
West Ham,2020,David Moyes
West Ham,2021,David Moyes
West Ham,2022,David Moyes
West Ham,2023,David Moyes
West Ham,2024,David Moyes
West Ham,2025,Graham Potter

Aston Villa,2018,Dean Smith
Aston Villa,2019,Dean Smith
Aston Villa,2020,Dean Smith
Aston Villa,2021,Steven Gerrard
Aston Villa,2022,Unai Emery
Aston Villa,2023,Unai Emery
Aston Villa,2024,Unai Emery
Aston Villa,2025,Unai Emery
Aston Villa,2026,Unai Emery
